entry_time,direction,pnl,classification,candidate_entry_time,candidate_direction,candidate_pnl,source_exit_time,candidate_exit_time,source_entry_price,candidate_entry_price,source_exit_price,candidate_exit_price,source_exit_reason,candidate_exit_reason,entry_bar_delta,note
2021-01-28T06:30:00,short,-260.5,no_near_match,,,,2021-01-28T11:00:00,,12977.75,,13108.0,,atr_stop,,,no_same_side_trade_within_5_bars
2021-01-28T23:00:00,long,277.0,near_match_entry_shift,2021-01-28T23:15:00,long,154.5,2021-01-29T05:30:00,2021-01-29T05:30:00,13120.0,13181.25,13258.5,13258.5,opposite_10,long_exit_opposite_10,1,same_side_trade_within_1_bar
2021-01-29T22:45:00,long,-244.0,no_near_match,,,,2021-01-29T23:45:00,,13137.5,,13015.5,,atr_stop,,,no_same_side_trade_within_5_bars
2021-02-17T23:00:00,short,33.5,near_match_entry_shift,2021-02-17T23:15:00,short,-51.5,2021-02-18T03:15:00,2021-02-17T23:45:00,13676.75,13629.5,13660.0,13655.25,opposite_10,short_atr_stop,1,same_side_trade_within_1_bar
2021-02-19T18:45:00,long,-30.5,no_near_match,,,,2021-02-19T23:45:00,,13685.0,,13669.75,,atr_stop,,,no_same_side_trade_within_5_bars
2021-03-05T23:15:00,long,-201.0,no_near_match,,,,2021-03-05T23:45:00,,12594.0,,12493.5,,atr_stop,,,no_same_side_trade_within_5_bars
2021-03-19T03:30:00,short,100.5,near_match_entry_shift,2021-03-19T03:45:00,short,-6.0,2021-03-19T16:30:00,2021-03-19T16:30:00,12886.0,12832.75,12835.75,12835.75,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2021-03-26T19:45:00,short,-13.0,near_match_entry_shift,2021-03-26T20:00:00,short,-32.0,2021-03-26T22:45:00,2021-03-26T22:45:00,12786.25,12776.75,12792.75,12792.75,opposite_10,short_atr_stop,1,same_side_trade_within_1_bar
2021-03-29T14:15:00,short,-109.5,no_near_match,,,,2021-03-29T15:45:00,,12828.25,,12883.0,,atr_stop,,,no_same_side_trade_within_5_bars
2021-04-21T00:00:00,short,-16.0,no_near_match,,,,2021-04-21T04:45:00,,13804.75,,13812.75,,opposite_10,,,no_same_side_trade_within_5_bars
2021-04-23T02:45:00,short,-19.0,near_match_entry_shift,2021-04-23T03:00:00,short,-85.0,2021-04-23T10:30:00,2021-04-23T10:30:00,13765.5,13732.5,13775.0,13775.0,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2021-04-30T01:00:00,short,-124.5,near_match_entry_shift,2021-04-30T01:15:00,short,-132.5,2021-04-30T03:00:00,2021-04-30T02:30:00,13861.5,13841.0,13923.75,13907.25,atr_stop,short_atr_stop,1,same_side_trade_within_1_bar
2021-06-01T23:15:00,short,-55.5,near_match_price_diff,2021-06-02T00:00:00,short,-80.0,2021-06-02T03:45:00,2021-06-02T00:45:00,13657.75,13614.75,13685.5,13654.75,opposite_10,short_atr_stop,3,same_side_trade_within_5_bars_but_price_diff
2021-07-16T00:00:00,short,32.0,near_match_price_diff,2021-07-16T01:15:00,short,-32.5,2021-07-16T12:30:00,2021-07-16T12:30:00,14779.5,14747.25,14763.5,14763.5,opposite_10,short_exit_opposite_10,5,same_side_trade_within_5_bars_but_price_diff
2021-07-20T07:00:00,long,3.5,no_near_match,,,,2021-07-20T19:00:00,,14593.5,,14595.25,,opposite_10,,,no_same_side_trade_within_5_bars
2021-07-21T00:00:00,long,135.5,near_match_entry_shift,2021-07-21T00:15:00,long,107.0,2021-07-21T11:15:00,2021-07-21T11:15:00,14651.25,14665.5,14719.0,14719.0,opposite_10,long_exit_opposite_10,1,same_side_trade_within_1_bar
2021-07-23T05:15:00,long,93.5,near_match_entry_shift,2021-07-23T05:30:00,long,66.5,2021-07-23T20:15:00,2021-07-23T20:15:00,14945.25,14958.75,14992.0,14992.0,opposite_10,long_exit_opposite_10,1,same_side_trade_within_1_bar
2021-08-11T21:45:00,long,-54.0,no_near_match,,,,2021-08-11T22:45:00,,15098.0,,15071.0,,atr_stop,,,no_same_side_trade_within_5_bars
2021-08-16T23:00:00,short,17.5,near_match_entry_shift,2021-08-16T23:15:00,short,-74.5,2021-08-17T02:00:00,2021-08-17T02:00:00,15031.75,14985.75,15023.0,15023.0,opposite_10,short_atr_stop,1,same_side_trade_within_1_bar
2021-08-17T04:30:00,long,-6.5,near_match_price_diff,2021-08-17T05:00:00,long,-40.0,2021-08-17T09:30:00,2021-08-17T09:30:00,15117.25,15134.0,15114.0,15114.0,opposite_10,long_exit_opposite_10,2,same_side_trade_within_5_bars_but_price_diff
2021-09-08T23:45:00,short,-69.5,near_match_entry_shift,2021-09-09T00:00:00,short,-99.0,2021-09-09T01:30:00,2021-09-09T01:30:00,15565.0,15550.25,15599.75,15599.75,atr_stop,short_atr_stop,1,same_side_trade_within_1_bar
2021-09-14T21:45:00,long,-107.0,no_near_match,,,,2021-09-14T23:00:00,,15485.75,,15432.25,,atr_stop,,,no_same_side_trade_within_5_bars
2021-09-16T02:00:00,long,115.5,no_near_match,,,,2021-09-16T09:15:00,,15439.25,,15497.0,,opposite_10,,,no_same_side_trade_within_5_bars
2021-09-27T18:30:00,short,209.5,near_match_entry_shift,2021-09-27T18:45:00,short,155.0,2021-09-28T03:15:00,2021-09-28T03:15:00,15312.5,15285.25,15207.75,15207.75,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2021-10-07T02:45:00,long,302.5,near_match_price_diff,2021-10-07T03:15:00,long,227.5,2021-10-07T14:00:00,2021-10-07T14:00:00,14692.5,14730.0,14843.75,14843.75,opposite_10,long_exit_opposite_10,2,same_side_trade_within_5_bars_but_price_diff
2021-10-12T05:15:00,short,75.0,no_near_match,,,,2021-10-12T14:15:00,,14690.75,,14653.25,,opposite_10,,,no_same_side_trade_within_5_bars
2021-11-11T04:30:00,short,-154.0,near_match_entry_shift,2021-11-11T04:45:00,short,-145.5,2021-11-11T09:15:00,2021-11-11T06:00:00,15937.75,15905.75,16014.75,15978.5,opposite_10,short_atr_stop,1,same_side_trade_within_1_bar
2021-11-12T23:15:00,long,-123.5,side_conflict,,,,2021-11-12T23:45:00,,16087.0,,16025.25,,atr_stop,,2,opposite_side_within_5_bars
2021-11-13T01:00:00,long,213.0,near_match_entry_shift,2021-11-13T01:15:00,long,147.0,2021-11-15T12:15:00,2021-11-15T12:15:00,16108.25,16141.25,16214.75,16214.75,opposite_10,long_exit_opposite_10,1,same_side_trade_within_1_bar
2021-11-24T01:00:00,short,-159.0,no_near_match,,,,2021-11-24T01:30:00,,16167.5,,16247.0,,atr_stop,,,no_same_side_trade_within_5_bars
2021-11-30T01:45:00,long,118.5,near_match_entry_shift,2021-11-30T02:00:00,long,98.5,2021-11-30T11:30:00,2021-11-30T11:30:00,16343.75,16353.75,16403.0,16403.0,opposite_10,long_exit_opposite_10,1,same_side_trade_within_1_bar
2021-12-02T03:00:00,short,534.5,near_match_entry_shift,2021-12-02T03:15:00,short,479.5,2021-12-02T11:00:00,2021-12-02T11:00:00,16243.5,16216.0,15976.25,15976.25,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2021-12-14T23:30:00,short,-217.0,no_near_match,,,,2021-12-14T23:45:00,,15882.75,,15991.25,,atr_stop,,,no_same_side_trade_within_5_bars
2021-12-16T05:15:00,long,303.0,no_near_match,,,,2021-12-16T11:00:00,,16131.25,,16282.75,,opposite_10,,,no_same_side_trade_within_5_bars
2021-12-18T01:00:00,long,-163.5,near_match_entry_shift,2021-12-18T01:15:00,long,-302.0,2021-12-18T02:00:00,2021-12-18T01:45:00,15897.25,15950.5,15815.5,15799.5,atr_stop,long_atr_stop,1,same_side_trade_within_1_bar
2021-12-22T05:00:00,long,-89.0,no_near_match,,,,2021-12-22T12:00:00,,15974.0,,15929.5,,opposite_10,,,no_same_side_trade_within_5_bars
2022-01-04T00:00:00,short,-140.5,no_near_match,,,,2022-01-04T00:15:00,,16317.0,,16387.25,,atr_stop,,,no_same_side_trade_within_5_bars
2022-01-14T02:30:00,short,259.0,no_near_match,,,,2022-01-14T13:30:00,,15631.5,,15502.0,,opposite_10,,,no_same_side_trade_within_5_bars
2022-01-15T00:00:00,long,-222.5,no_near_match,,,,2022-01-15T00:45:00,,15579.25,,15468.0,,atr_stop,,,no_same_side_trade_within_5_bars
2022-01-18T18:30:00,short,-116.0,no_near_match,,,,2022-01-18T21:30:00,,15297.5,,15355.5,,atr_stop,,,no_same_side_trade_within_5_bars
2022-02-09T01:15:00,long,-53.0,near_match_price_diff,2022-02-09T01:45:00,long,-107.5,2022-02-09T04:30:00,2022-02-09T04:30:00,14664.5,14691.75,14638.0,14638.0,opposite_10,long_exit_opposite_10,2,same_side_trade_within_5_bars_but_price_diff
2022-02-10T23:15:00,short,-184.0,no_near_match,,,,2022-02-10T23:45:00,,14737.5,,14829.5,,atr_stop,,,no_same_side_trade_within_5_bars
2022-03-05T00:15:00,short,-165.0,near_match_price_diff,2022-03-05T01:00:00,short,-238.5,2022-03-05T03:15:00,2022-03-05T03:15:00,13818.5,13781.75,13901.0,13901.0,atr_stop,short_atr_stop,3,same_side_trade_within_5_bars_but_price_diff
2022-03-10T02:45:00,long,-35.0,no_near_match,,,,2022-03-10T10:45:00,,13729.75,,13712.25,,opposite_10,,,no_same_side_trade_within_5_bars
2022-04-02T01:00:00,short,-113.0,near_match_price_diff,2022-04-02T02:15:00,short,-177.5,2022-04-02T03:30:00,2022-04-02T03:30:00,14764.75,14732.5,14821.25,14821.25,opposite_10,short_exit_opposite_10,5,same_side_trade_within_5_bars_but_price_diff
2022-04-19T23:00:00,long,218.5,near_match_entry_shift,2022-04-19T23:15:00,long,107.0,2022-04-20T03:15:00,2022-04-20T03:15:00,14014.5,14070.25,14123.75,14123.75,opposite_10,long_exit_opposite_10,1,same_side_trade_within_1_bar
2022-04-20T04:15:00,long,-280.0,near_match_entry_shift,2022-04-20T04:30:00,long,-302.0,2022-04-20T05:15:00,2022-04-20T05:15:00,14206.5,14217.5,14066.5,14066.5,atr_stop,long_atr_stop,1,same_side_trade_within_1_bar
2022-04-22T00:45:00,short,633.0,near_match_entry_shift,2022-04-22T01:00:00,short,524.0,2022-04-22T13:30:00,2022-04-22T13:30:00,14019.75,13965.25,13703.25,13703.25,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2022-05-03T05:00:00,long,24.0,no_near_match,,,,2022-05-03T15:15:00,,13071.25,,13083.25,,opposite_10,,,no_same_side_trade_within_5_bars
2022-05-04T23:00:00,short,-103.0,near_match_entry_shift,2022-05-04T23:15:00,short,-190.0,2022-05-05T01:45:00,2022-05-05T01:30:00,13018.25,12963.0,13069.75,13058.0,atr_stop,short_atr_stop,1,same_side_trade_within_1_bar
2022-05-05T23:00:00,short,643.5,near_match_entry_shift,2022-05-05T23:15:00,short,498.0,2022-05-06T12:45:00,2022-05-06T12:45:00,13174.75,13102.0,12853.0,12853.0,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2022-06-09T01:45:00,short,-32.5,no_near_match,,,,2022-06-09T17:45:00,,12613.75,,12630.0,,opposite_10,,,no_same_side_trade_within_5_bars
2022-06-09T21:45:00,short,-171.5,no_near_match,,,,2022-06-09T23:00:00,,12553.5,,12639.25,,atr_stop,,,no_same_side_trade_within_5_bars
2022-06-30T22:45:00,short,-128.5,near_match_entry_shift,2022-06-30T23:00:00,short,-179.0,2022-07-01T00:15:00,2022-07-01T00:00:00,11440.25,11398.0,11504.5,11487.5,atr_stop,short_atr_stop,1,same_side_trade_within_1_bar
2022-07-15T22:00:00,long,280.5,no_near_match,,,,2022-07-18T09:45:00,,11892.75,,12033.0,,opposite_10,,,no_same_side_trade_within_5_bars
2022-07-18T12:30:00,long,28.0,near_match_entry_shift,2022-07-18T12:45:00,long,18.5,2022-07-18T21:30:00,2022-07-18T21:30:00,12093.25,12098.0,12107.25,12107.25,opposite_10,long_exit_opposite_10,1,same_side_trade_within_1_bar
2022-07-19T03:00:00,short,99.5,near_match_price_diff,2022-07-19T03:45:00,short,44.5,2022-07-19T08:45:00,2022-07-19T08:45:00,11988.0,11960.5,11938.25,11938.25,opposite_10,short_exit_opposite_10,3,same_side_trade_within_5_bars_but_price_diff
2022-08-19T23:00:00,short,180.0,near_match_entry_shift,2022-08-19T23:15:00,short,143.5,2022-08-22T12:00:00,2022-08-22T12:00:00,13308.75,13290.5,13218.75,13218.75,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2022-09-08T02:45:00,long,101.5,no_near_match,,,,2022-09-08T16:30:00,,12208.75,,12259.5,,opposite_10,,,no_same_side_trade_within_5_bars
2022-09-08T21:45:00,short,-74.5,near_match_entry_shift,2022-09-08T22:00:00,short,-131.0,2022-09-08T23:00:00,2022-09-08T23:00:00,12210.0,12181.75,12247.25,12247.25,atr_stop,short_atr_stop,1,same_side_trade_within_1_bar
2022-09-14T04:30:00,short,-0.5,near_match_entry_shift,2022-09-14T04:45:00,short,-95.0,2022-09-14T11:15:00,2022-09-14T11:15:00,12153.0,12105.75,12153.25,12153.25,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2022-10-04T09:30:00,long,-73.5,no_near_match,,,,2022-10-04T11:30:00,,11387.0,,11350.25,,atr_stop,,,no_same_side_trade_within_5_bars
2022-10-10T23:45:00,short,-146.5,no_near_match,,,,2022-10-11T03:00:00,,10962.25,,11035.5,,atr_stop,,,no_same_side_trade_within_5_bars
2022-10-28T05:15:00,short,-205.0,near_match_entry_shift,2022-10-28T05:30:00,short,-125.0,2022-10-28T07:15:00,2022-10-28T05:45:00,11058.25,11013.5,11160.75,11076.0,atr_stop,short_atr_stop,1,same_side_trade_within_1_bar
2022-11-01T23:15:00,short,97.5,near_match_price_diff,2022-11-01T23:45:00,short,37.0,2022-11-02T09:45:00,2022-11-02T09:45:00,11402.75,11372.5,11354.0,11354.0,opposite_10,short_exit_opposite_10,2,same_side_trade_within_5_bars_but_price_diff
2022-11-28T10:00:00,short,-19.5,near_match_entry_shift,2022-11-28T10:15:00,short,-51.5,2022-11-28T17:15:00,2022-11-28T17:15:00,11704.75,11688.75,11714.5,11714.5,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2022-11-29T23:45:00,short,-83.5,no_near_match,,,,2022-11-30T00:30:00,,11584.25,,11626.0,,atr_stop,,,no_same_side_trade_within_5_bars
2022-11-30T01:15:00,short,-32.0,near_match_entry_shift,2022-11-30T01:30:00,short,-87.5,2022-11-30T10:15:00,2022-11-30T10:15:00,11517.25,11489.5,11533.25,11533.25,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2022-12-02T22:45:00,short,-58.0,no_near_match,,,,2022-12-02T23:00:00,,11795.5,,11824.5,,atr_stop,,,no_same_side_trade_within_5_bars
2022-12-07T00:00:00,short,157.5,near_match_entry_shift,2022-12-07T00:15:00,short,94.0,2022-12-07T09:15:00,2022-12-07T09:15:00,11664.75,11633.0,11586.0,11586.0,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2022-12-16T01:15:00,short,8.0,no_near_match,,,,2022-12-16T11:30:00,,11477.25,,11473.25,,opposite_10,,,no_same_side_trade_within_5_bars
2023-01-04T00:00:00,short,114.5,near_match_entry_shift,2023-01-04T00:15:00,short,37.0,2023-01-04T05:00:00,2023-01-04T05:00:00,10995.0,10956.25,10937.75,10937.75,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2023-01-06T18:30:00,short,-34.5,no_near_match,,,,2023-01-06T19:30:00,,10789.0,,10806.25,,atr_stop,,,no_same_side_trade_within_5_bars
2023-01-19T19:45:00,short,1.5,near_match_price_diff,2023-01-19T20:15:00,short,-18.5,2023-01-19T23:30:00,2023-01-19T23:30:00,11408.25,11398.25,11407.5,11407.5,opposite_10,short_exit_opposite_10,2,same_side_trade_within_5_bars_but_price_diff
2023-01-26T00:00:00,short,-154.0,near_match_entry_shift,2023-01-26T00:15:00,short,-159.0,2023-01-26T01:15:00,2023-01-26T01:15:00,11624.25,11621.75,11701.25,11701.25,atr_stop,short_atr_stop,1,same_side_trade_within_1_bar
2023-01-31T12:45:00,short,-11.0,no_near_match,,,,2023-01-31T16:15:00,,11928.0,,11933.5,,atr_stop,,,no_same_side_trade_within_5_bars
2023-02-16T22:45:00,short,-84.5,near_match_entry_shift,2023-02-16T23:00:00,short,-111.0,2023-02-17T00:45:00,2023-02-17T00:30:00,12587.25,12559.0,12629.5,12614.5,atr_stop,short_atr_stop,1,same_side_trade_within_1_bar
2023-02-21T09:15:00,short,462.0,near_match_price_diff,2023-02-21T10:15:00,short,-30.0,2023-02-22T10:30:00,2023-02-21T11:45:00,12360.0,12336.75,12129.0,12351.75,opposite_10,short_atr_stop,4,same_side_trade_within_5_bars_but_price_diff
2023-02-27T22:45:00,long,-41.0,no_near_match,,,,2023-02-28T00:45:00,,12124.75,,12104.25,,atr_stop,,,no_same_side_trade_within_5_bars
2023-03-01T18:15:00,long,-45.0,no_near_match,,,,2023-03-01T22:15:00,,12119.25,,12096.75,,opposite_10,,,no_same_side_trade_within_5_bars
2023-03-03T04:00:00,long,59.0,no_near_match,,,,2023-03-03T09:30:00,,11999.25,,12028.75,,opposite_10,,,no_same_side_trade_within_5_bars
2023-03-15T19:45:00,short,-190.0,near_match_entry_shift,2023-03-15T20:00:00,short,5.0,2023-03-15T22:45:00,2023-03-15T21:45:00,12170.0,12135.25,12265.0,12132.75,atr_stop,short_atr_stop,1,same_side_trade_within_1_bar
2023-03-28T23:45:00,short,-93.0,no_near_match,,,,2023-03-29T00:30:00,,12657.5,,12704.0,,atr_stop,,,no_same_side_trade_within_5_bars
2023-03-29T10:30:00,long,-47.5,no_near_match,,,,2023-03-29T12:30:00,,12789.75,,12766.0,,atr_stop,,,no_same_side_trade_within_5_bars
2023-03-29T22:30:00,long,-52.5,near_match_entry_shift,2023-03-29T22:45:00,long,-64.5,2023-03-30T00:00:00,2023-03-29T23:45:00,12887.25,12909.5,12861.0,12877.25,atr_stop,long_atr_stop,1,same_side_trade_within_1_bar
2023-04-17T23:45:00,short,-14.5,near_match_price_diff,2023-04-18T00:45:00,short,-65.0,2023-04-18T03:45:00,2023-04-18T03:45:00,13122.5,13097.25,13129.75,13129.75,opposite_10,short_exit_opposite_10,4,same_side_trade_within_5_bars_but_price_diff
2023-04-20T08:45:00,short,128.0,no_near_match,,,,2023-04-20T20:00:00,,13128.0,,13064.0,,opposite_10,,,no_same_side_trade_within_5_bars
2023-05-08T21:45:00,short,-50.5,near_match_price_diff,2023-05-08T22:45:00,short,-50.5,2023-05-09T01:00:00,2023-05-09T00:15:00,13296.0,13276.5,13321.25,13301.75,atr_stop,short_atr_stop,4,same_side_trade_within_5_bars_but_price_diff
2023-06-21T23:45:00,short,-42.5,near_match_entry_shift,2023-06-22T00:00:00,short,-70.0,2023-06-22T03:00:00,2023-06-22T03:00:00,15071.25,15057.5,15092.5,15092.5,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2023-06-23T13:30:00,short,-43.0,no_near_match,,,,2023-06-23T15:00:00,,15128.75,,15150.25,,atr_stop,,,no_same_side_trade_within_5_bars
2023-07-27T22:45:00,long,-47.0,no_near_match,,,,2023-07-27T23:00:00,,15894.0,,15870.5,,atr_stop,,,no_same_side_trade_within_5_bars
2023-08-25T03:45:00,short,172.5,near_match_price_diff,2023-08-25T04:45:00,short,74.0,2023-08-25T15:00:00,2023-08-25T15:00:00,14939.75,14890.5,14853.5,14853.5,opposite_10,short_exit_opposite_10,4,same_side_trade_within_5_bars_but_price_diff
2023-08-26T00:00:00,short,-113.0,no_near_match,,,,2023-08-26T00:15:00,,14760.25,,14816.75,,atr_stop,,,no_same_side_trade_within_5_bars
2023-09-06T23:15:00,short,-11.5,near_match_price_diff,2023-09-07T00:00:00,short,-46.0,2023-09-07T05:00:00,2023-09-07T05:00:00,15392.5,15375.25,15398.25,15398.25,opposite_10,short_exit_opposite_10,3,same_side_trade_within_5_bars_but_price_diff
2023-09-29T00:45:00,long,-37.5,no_near_match,,,,2023-09-29T09:15:00,,14880.25,,14861.5,,opposite_10,,,no_same_side_trade_within_5_bars
2023-09-30T02:00:00,short,-128.0,near_match_entry_shift,2023-09-30T02:15:00,short,-48.5,2023-10-02T07:15:00,2023-09-30T05:00:00,14896.25,14843.25,14960.25,14867.5,atr_stop,short_atr_stop,1,same_side_trade_within_1_bar
2023-10-03T21:45:00,short,-89.5,no_near_match,,,,2023-10-03T22:45:00,,14863.5,,14908.25,,atr_stop,,,no_same_side_trade_within_5_bars
2023-10-03T23:15:00,short,283.0,near_match_entry_shift,2023-10-03T23:30:00,short,205.5,2023-10-04T17:30:00,2023-10-04T17:30:00,14816.0,14777.25,14674.5,14674.5,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
